"Political Stability|H",1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Afghanistan",1,0,0,1,2,2,2,1,1,0,0,1,1
"Albania",32,25,26,32,35,29,29,30,38,44,43,38,38
"Algeria",5,5,9,7,5,11,21,16,14,15,13,12,9
"Western Samoa",0,0,0,0,0,74,70,69,83,82,84,81,80
"Andorra",86,88,84,90,99,98,99,99,99,99,94,94,96
"Angola",3,1,2,9,19,18,21,29,23,32,34,39,36
"Antigua and Barbuda",66,67,67,69,75,89,74,73,76,76,73,80,81
"Argentina",47,38,48,20,34,27,46,47,48,42,39,46,54
"Armenia",29,22,22,33,51,40,44,36,47,44,52,46,43
"Australia",97,84,94,87,75,79,77,78,80,80,73,74,74
"Austria",97,87,75,95,81,85,87,87,96,97,91,89,90
"Azerbaijan",19,20,19,14,20,16,16,17,25,33,31,34,28
"Bahamas, The",82,82,88,80,72,78,79,74,72,73,78,83,88
"Bahrain",32,34,43,50,59,56,45,33,35,36,42,32,26
"Bangladesh",25,29,24,18,15,10,4,9,9,10,8,9,7
"Barbados",82,81,82,82,80,90,88,79,87,88,87,88,93
"Byelarus",46,47,49,52,68,52,57,50,55,64,62,40,37
"Belgium",89,80,83,88,76,73,71,74,73,68,75,74,75
"Belize",61,63,50,58,61,62,50,46,49,51,45,48,49
"Benin",82,69,71,72,66,55,61,64,58,57,61,55,56
"Bermuda",66,67,67,69,74,78,73,72,75,75,70,81,82
"Bhutan",64,61,61,64,80,91,94,96,68,72,76,72,73
"Bolivia",39,33,35,30,22,24,18,21,19,20,29,30,30
"Bosnia and Herzegovina",24,25,27,38,31,44,32,31,25,29,24,25,19
"Botswana",77,77,79,73,86,77,84,75,79,79,83,82,85
"Brazil",38,31,54,55,41,36,38,39,34,35,52,50,46
"Brunei",87,85,93,85,89,97,92,92,93,92,95,92,88
"Bulgaria",40,63,60,59,49,45,52,60,58,56,58,58,58
"Burkina Faso",33,38,44,31,42,41,43,52,55,49,45,41,29
"Burundi",3,1,1,0,1,1,7,9,11,9,12,6,5
"Cambodia",14,11,20,23,25,30,34,32,30,32,24,26,33
"Cameroon",18,21,28,25,29,31,40,34,32,26,32,27,27
"Canada",88,78,85,87,86,76,72,81,82,82,88,79,85
"Cape Verde",80,84,87,66,80,84,69,80,78,75,77,77,70
"Central African Republic",9,11,13,4,7,9,9,6,6,6,3,3,3
"Chad",15,10,13,7,10,7,10,5,5,3,8,9,11
"Chile",64,45,63,82,70,71,75,65,59,59,66,68,65
"China",41,30,35,32,28,32,31,27,27,28,27,24,25
"Colombia",8,7,8,3,1,2,3,6,7,7,5,8,12
"Comoros",58,61,40,55,26,42,36,35,16,15,22,28,32
"Congo",0,0,0,2,3,1,1,1,3,3,4,3,2
"Costa Rica",69,75,74,81,65,69,67,68,68,58,67,69,67
"Ivory Coast",46,35,12,2,5,3,1,3,4,5,11,7,8
"Croatia",40,43,52,63,63,67,59,64,67,67,68,67,63
"Cuba",50,41,51,49,53,58,59,57,57,60,54,56,58
